GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1134509631,Connect4,10,GAME_OVER,22,1,2,2,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
-775450780,Connect4,24,GAME_OVER,50,1,2,3,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
-948910137,Connect4,10,GAME_OVER,22,1,2,4,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
-1514521831,Connect4,18,GAME_OVER,37,0,2,5,2,BasicMCTS,2,1,1,mcts,BasicMCTS,-1.0,1.0,mcts,mcts,BasicMCTS,0
1580144535,Connect4,4,GAME_OVER,10,1,2,6,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
-584385227,Connect4,26,GAME_OVER,54,1,2,7,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
-2077762488,Connect4,9,GAME_OVER,20,1,2,8,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
-1650356246,Connect4,16,GAME_OVER,34,1,2,9,1,BasicMCTS,1,2,2,mcts,BasicMCTS,1.0,-1.0,mcts,mcts,BasicMCTS,1
1134509631,Connect4,3,GAME_OVER,7,0,2,10,2,BasicMCTS,2,1,1,OSLA,BasicMCTS,-1.0,1.0,OSLA,OSLA,BasicMCTS,0
-775450780,Connect4,3,GAME_OVER,7,0,2,11,2,BasicMCTS,2,1,1,OSLA,BasicMCTS,-1.0,1.0,OSLA,OSLA,BasicMCTS,0
-948910137,Connect4,3,GAME_OVER,7,0,2,12,2,BasicMCTS,2,1,1,OSLA,BasicMCTS,-1.0,1.0,OSLA,OSLA,BasicMCTS,0
